City,Max Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
ponta delgada,51.8,71,20,6.93,37.73,-25.67
finschhafen,77.46,90,92,2.15,-6.6,147.85
east london,71.6,83,40,16.11,-33.02,27.91
tailai,19.19,68,12,13.22,46.39,123.41
taltal,41.28,100,0,2.93,-25.41,-70.49
savinskiy,10.41,74,88,5.28,62.93,40.14
aswan,75.66,27,0,7.07,24.09,32.9
cururupu,76.38,96,68,3.27,-1.82,-44.87
clyde river,-4.01,83,40,5.95,70.47,-68.59
pangai,82.55,100,92,8.75,-19.8,-174.35
lima,56.45,75,32,1.92,-12.06,-77.04
tolaga bay,65.81,85,92,12.55,-38.37,178.3
katsuura,53.6,58,20,33.33,33.93,134.5
ponta do sol,62.93,94,36,2.82,-20.63,-46
verkhoyansk,-14.21,83,56,2.71,67.55,133.39
ulety,7.98,39,64,7.18,51.36,112.48
torbay,30.2,100,90,13.87,47.66,-52.73
harnosand,-7.61,76,0,3.36,62.63,17.94
imbituba,73.4,94,75,5.82,-28.24,-48.67
inuvik,-9.41,69,75,4.7,68.36,-133.71
shakiso,69.32,85,64,2.82,5.77,38.9
leningradskiy,18.83,93,92,36.6,69.38,178.42
tual,85.16,100,20,8.63,-5.67,132.75
gat,66.3,76,0,12.44,14.69,-16.54
mana,12.2,78,40,2.24,43.52,20.24
salym,-1.65,58,48,7.52,60.06,71.48
guerrero negro,43.13,86,0,5.73,27.97,-114.04
victor harbor,78.8,36,0,16.11,-35.55,138.62
copaceni,19.95,85,0,3.71,45,23.98
marsa matruh,66.66,56,0,9.19,31.35,27.25
ayan,23.87,84,76,4.38,40.67,33.6
raudeberg,17.6,61,0,9.17,61.99,5.14
cabedelo,73.4,94,20,2.24,-6.97,-34.84
puerto madero,73.4,73,0,6.93,-34.61,-58.36
high level,8.6,78,1,3.6,58.52,-117.13
antalaha,83.54,80,64,13.44,-14.9,50.28
tiksi,-22.44,33,44,2.93,71.64,128.87
gamba,30.08,57,0,6.96,28.28,88.52
cravo norte,83.58,45,76,9.75,6.3,-70.2
la palma,62.3,96,68,0.36,5.36,-74.39
lorengau,83,100,24,1.81,-2.02,147.27
araouane,84.62,32,12,4.83,18.9,-3.53
riyadh,66.2,68,40,9.17,24.63,46.72
nizhniy tagil,9.83,68,44,10.42,57.92,59.97
cap malheureux,84.2,74,40,14.99,-19.98,57.61
cayenne,75.2,94,90,6.73,4.94,-52.33
kyren,23.6,56,76,3.94,51.68,102.13
port blair,85.61,98,0,6.62,11.67,92.75
provideniya,30.71,93,92,32.35,64.42,-173.23
new haven,46.4,70,90,5.82,41.31,-72.93
taunggyi,78.18,42,0,3.27,20.78,97.03
cidreira,71.84,96,88,4.94,-30.17,-50.22
ha giang,73.23,72,0,2.15,22.83,104.99
saint anthony,19.4,78,20,5.82,43.97,-111.68
diamantino,72.83,92,0,5.17,-14.4,-56.44
port augusta,78.8,44,0,16.11,-32.49,137.76
medina,69.8,37,0,11.41,24.47,39.61
russell,62.6,77,0,4.7,-33.01,-68.8
maniitsoq,29.85,68,92,11.1,65.42,-52.9
kapuskasing,5,92,40,3.36,49.42,-82.43
luderitz,69.8,56,0,24.16,-26.65,15.16
bjornevatn,26.6,92,75,8.05,69.67,29.98
iqaluit,17.6,85,75,2.24,63.75,-68.52
presidencia roque saenz pena,69.41,97,64,3.83,-26.79,-60.44
rawson,63.11,40,0,8.3,-43.3,-65.11
severobaykalsk,-4.44,58,32,2.15,55.65,109.32
motygino,2.13,48,0,3.15,58.18,94.69
mehamn,30.2,58,75,6.93,71.03,27.85
katangli,16.31,88,64,9.86,51.71,143.23
avera,68,100,90,9.75,33.19,-82.53
san-pedro,82.19,72,0,4.27,4.75,-6.64
khor,19.64,87,92,9.53,47.88,134.96
udachnyy,-17.18,71,0,4.38,66.42,112.4
labuhan,82.55,76,64,1.48,-2.54,115.51
haverfordwest,24.8,62,88,18.34,51.8,-4.97
balakovo,1.91,90,0,10.54,52.02,47.82
touros,78.32,94,80,9.53,-5.2,-35.46
nikolskoye,-2.21,77,40,2.24,59.7,30.79
pyshma,7.76,83,36,11.54,56.95,63.25
auki,84.8,25,0,5.95,12.18,6.51
xining,47.13,16,0,17.25,36.62,101.77
port macquarie,71.6,64,90,11.41,-31.43,152.91
tiruchchendur,86.69,61,0,16.58,8.48,78.12
yook,79.76,100,88,5.39,13.23,121.96
gerardmer,26.6,79,90,9.17,48.07,6.88
codrington,79.04,59,36,7.96,-28.95,153.24
zhigansk,-17.4,76,44,2.15,66.77,123.37
sterling,51.8,87,1,5.61,39,-77.4
dakar,64.68,96,0,14.45,14.69,-17.45
margate,62.6,72,75,10.29,-43.03,147.26
taoudenni,73.01,27,0,7.63,22.68,-3.98
salinopolis,79.58,100,76,9.53,-0.61,-47.36
saltpond,84.75,70,32,3.6,5.2,-1.06
anloga,82.4,83,40,5.82,5.79,0.9
lilongwe,70.98,100,92,5.17,-13.97,33.79
cacu,68.96,90,12,2.82,-18.56,-51.13
shouguang,38.76,31,68,4.94,36.88,118.73
san cristobal,50,87,75,4.7,-0.39,-78.55
carnarvon,83.4,16,0,4.61,-30.97,22.13
vila velha,78.8,88,40,3.36,-3.71,-38.6
kavieng,85.16,100,56,5.17,-2.57,150.8
hamilton,62.6,63,75,8.05,32.3,-64.78
vanimo,82.86,100,44,8.75,-2.67,141.3
regina,8.6,84,5,9.17,50.45,-104.62
fortuna,59,100,0,4.7,38.18,-1.13
rio grande,73.41,98,92,6.73,-32.03,-52.1
kiruna,24.8,79,0,2.59,67.86,20.23
broome,24.8,92,75,24.16,52.47,1.45
beringovskiy,32.73,87,88,22.95,63.05,179.32
sao filipe,68.46,100,0,11.21,14.9,-24.5
todos santos,62.12,100,0,19.48,23.45,-110.23
vila franca do campo,51.8,71,20,6.93,37.72,-25.43
flin flon,9.6,74,0,5.06,54.77,-101.88
yakeshi,8.88,65,12,9.53,49.28,120.73
beyneu,32.33,100,76,10.98,45.32,55.19
santa cruz del sur,65.18,96,0,8.3,20.71,-78
veraval,23,85,90,18.34,49.65,0.71
ambon,30.2,100,90,11.41,47.55,-2.56
kolpashevo,0.56,63,56,7.63,58.31,82.9
constitucion,42.68,71,20,5.61,23.99,-104.67
viransehir,52.35,100,80,10.54,37.24,39.76
jinchang,39.53,76,0,6.29,38.52,102.19
san rafael,52.31,85,20,2.59,-34.61,-68.33
san patricio,69.86,98,20,2.93,-26.98,-56.83
lagos,78.8,94,40,1.92,6.46,3.39
severo-kurilsk,25.13,100,8,16.69,50.68,156.12
placido de castro,75.03,90,12,1.92,-10.34,-67.19
kodinsk,1.19,50,44,3.49,58.6,99.18
yerbogachen,-5.3,54,32,2.71,61.28,108.01
antsohihy,87.63,84,32,5.73,-14.88,47.99
salalah,78.8,69,20,10.29,17.01,54.1
saint george,39.2,55,75,3.71,39.45,22.34
gorontalo,80.43,82,44,2.37,0.54,123.06
bolobo,82.19,69,80,4.27,-2.17,16.23
ojinaga,49.2,22,36,11.43,29.56,-104.41
strezhevoy,-7.61,83,0,4.47,60.73,77.6
henties bay,64.37,98,48,3.71,-22.12,14.28
banjar,75.8,100,44,2.71,-7.37,108.54
poum,24.8,62,0,6.93,41.28,20.71
faya,59,76,40,11.41,18.39,42.45
tabas,62.39,61,20,4.61,33.6,56.92
ariquemes,72.74,91,20,1.7,-9.91,-63.03
nanortalik,33.05,94,20,26.53,60.14,-45.24
samarai,83.81,100,20,7.96,-10.62,150.67
santiago del estero,68.28,85,48,7.96,-27.8,-64.26
mandurah,86,35,0,16.11,-32.55,115.7
sao mateus,79.13,93,0,11.99,-18.72,-39.86
sioux lookout,26.6,53,75,3.36,50.1,-91.92
samus,4.7,77,76,7.85,56.74,84.7
komsomolskiy,9.78,81,48,19.82,67.55,63.78
ardabil,46.4,65,40,6.93,38.25,48.3
izhma,24.5,58,36,10.42,65.01,53.91
damaturu,90.78,19,0,9.31,11.75,11.96
the valley,73.4,83,75,9.17,18.22,-63.06
kaitangata,59.6,99,92,4.38,-46.28,169.85
manicore,74.13,91,32,2.15,-5.81,-61.3
mokhsogollokh,-13.04,59,32,3.94,61.4,128.95
skjervoy,37.4,100,90,9.17,70.03,20.97
kavaratti,83.72,100,0,5.39,10.57,72.64
cabo san lucas,65.4,100,56,7.52,22.89,-109.91
chumikan,-0.39,54,0,1.59,54.72,135.31
portland,46.4,87,90,10.29,45.52,-122.67
gorno-altaysk,20.63,91,88,11.88,51.96,85.96
ust-nera,-9.84,60,36,2.15,64.57,143.24
solenzo,84.44,54,0,4.72,12.18,-4.08
basco,51.8,93,90,9.17,40.33,-91.2
aksu,5,77,75,17.9,52.04,76.93
ondjiva,82.64,30,0,8.3,-17.07,15.73
rio gallegos,51.8,92,0,23.04,-51.62,-69.22
makakilo city,75.2,94,90,4.7,21.35,-158.09
neiafu,82.37,100,48,8.75,-18.65,-173.98
brownsville,75.2,88,90,18.34,25.91,-97.49
totness,62.6,100,75,5.82,33.74,-80.8
warrnambool,62.12,92,80,7.74,-38.38,142.48
karpathos,59,58,20,13.87,35.51,27.21
zhangye,45.6,71,0,8.08,38.94,100.46
yondo,71.21,100,12,1.81,7.01,-73.91
cherskiy,-1.29,68,56,2.26,68.75,161.3
sur,76.25,89,0,5.73,22.57,59.53
alice springs,98.6,11,0,11.41,-23.7,133.88
victoria,86,83,90,5.82,5.28,115.24
vardo,50,66,1,6.93,39.62,-77.74
chililabombwe,69.86,93,88,8.63,-12.37,27.84
road town,71.6,94,40,3.36,18.42,-64.62
faanui,82.68,98,92,15.46,-16.48,-151.75
tarnow,12.2,78,20,10.29,53.78,12.02
namibe,74.81,100,0,2.37,-15.19,12.15
kindia,73.28,88,32,3.83,10.05,-12.86
berezayka,5.15,86,32,6.06,57.99,33.91
sao francisco,73.4,100,75,3.36,-25.65,-53.85
prince rupert,42.8,52,90,9.17,54.32,-130.32
narsaq,32,46,0,4.7,60.91,-46.05
kuryk,48.03,100,80,14.67,43.18,51.68
ask,37.46,84,0,0.69,35.87,52.15
knysna,68,82,40,3.36,-34.04,23.05
beatrice,32,70,1,13.87,40.27,-96.75
sao gabriel da cachoeira,75.62,93,36,1.14,-0.13,-67.09
santa maria del oro,45.83,60,56,3.15,25.95,-105.37
awallan,78.59,88,64,3.94,17.92,121.91
hornepayne,17.16,82,76,4.16,49.22,-84.78
chippewa falls,32,92,90,3.94,44.94,-91.39
ilinskoye-khovanskoye,4.25,89,24,6.62,56.97,39.77
sao joao da barra,76.38,100,88,4.83,-21.64,-41.05
laguna,51.14,54,68,4.61,27.52,-110.01
santa maria,66.48,97,92,4.16,-29.69,-53.81
olmos,60.81,88,0,1.14,-5.99,-79.75
hualmay,63.65,87,12,3.04,-11.1,-77.61
bambous virieux,84.2,74,40,14.99,-20.34,57.76
necochea,62.84,84,0,11.43,-38.55,-58.74
povenets,7.76,84,88,4.16,62.85,34.83
dokka,-2.51,59,0,2.71,60.83,10.07
hambantota,85.07,88,12,16.46,6.12,81.12
rosetta,62.6,77,20,11.41,31.4,30.42
sapa,91.4,55,40,12.75,14.32,120.76
nhulunbuy,80.6,88,8,4.7,-12.18,136.78
nago,26.6,92,75,2.24,45.88,10.89
baykit,-6.47,69,24,3.83,61.68,96.39
port lincoln,68.69,82,76,9.08,-34.72,135.86
barabinsk,4.65,86,48,11.43,55.35,78.35
college,-9.41,76,1,5.82,64.86,-147.8
husavik,8.7,64,0,3.27,50.56,-96.99
la ronge,5,84,5,5.82,55.1,-105.3
hasaki,66.2,42,20,11.41,35.73,140.83
esperance,69.8,94,20,3.04,10.24,-61.45
paros,34.4,94,92,9.75,44.39,3.51
tautira,80.6,74,75,2.24,-17.73,-149.15
arman,10.4,43,48,8.95,59.7,150.17
marsh harbour,72.15,100,56,3.71,26.54,-77.06
cockburn town,74,100,0,10.76,21.46,-71.14
tabou,81.47,98,8,4.38,4.42,-7.36
adrar,57.2,35,0,11.41,27.87,-0.29
mutoko,78.41,66,80,7.74,-17.4,32.23
leh,13.88,92,88,1.7,34.16,77.58
ordu,32.6,81,92,2.59,40.98,37.88
kamogawa,68,30,20,20.8,35.13,140.08
bambanglipuro,80.48,91,68,4.16,-7.95,110.28
pimentel,72.33,98,76,1.14,-3.7,-45.5
san joaquin,86.87,58,8,12.21,10.59,122.14
la paz,56.85,72,80,9.64,24.15,-110.32
kazanka,19.4,85,90,17.9,47.83,32.83
berlevag,30.2,58,75,6.93,70.86,29.09
meulaboh,83.99,100,36,6.4,4.14,96.13
nalut,63.92,53,0,15.9,31.86,10.98
wodonga,84.2,30,0,9.17,-36.12,146.89
inyonga,64.01,97,88,8.63,-6.72,32.06
yulara,100.4,14,0,11.41,-25.24,130.99
palmer,78.8,36,0,16.11,-34.85,139.16
san carlos,68.33,84,0,7.74,9.66,-68.59
garden acres,53.6,93,90,10.29,37.96,-121.23
roma,48.2,75,75,2.24,41.89,12.48
myitkyina,79.31,53,8,3.04,25.38,97.4
kuusamo,10.4,78,90,5.82,65.96,29.19
manikpur,90.02,43,24,4.94,25.07,81.1
panama city,71.6,94,1,9.17,30.16,-85.65
yeniseysk,2.31,57,0,3.94,58.45,92.17
yangjiang,68.28,94,68,7.07,21.85,111.96
huarmey,60.9,82,8,2.71,-10.07,-78.15
canico,62.6,67,20,5.82,32.63,-16.85
fougamou,78.77,91,48,3.6,-1.22,10.59
garden city,55.4,61,40,3.6,40.73,-73.63
djambala,78.14,77,44,7.63,-2.55,14.76
makarov,21.75,88,92,16.02,48.62,142.78
linkuva,3.2,84,75,11.41,56.09,23.97
puerto escondido,80.39,99,0,10.65,15.86,-97.07
grindavik,35.6,100,75,11.41,63.84,-22.43
kawalu,72.15,94,76,1.48,-7.38,108.21
qitaihe,14.51,64,88,14.9,45.77,131.01
macheng,52.8,81,92,11.77,31.18,115.03
san matias,53.6,87,5,2.24,13.97,-86.63
odessa,53.6,30,0,20.8,31.85,-102.37
am timan,95.6,15,0,4.94,11.04,20.28
malinovoye ozero,14.24,83,64,11.88,51.68,79.77
jaguarao,65.18,95,44,4.05,-32.57,-53.38
firminy,42.8,70,20,9.17,45.39,4.29
ibra,81.47,32,32,5.61,22.69,58.55
puqi,58.43,97,92,10.65,29.72,113.88
buribay,4.7,84,0,3.38,51.96,58.16
ocean city,71.6,94,75,11.41,30.44,-86.61
mezen,26.3,89,88,4.16,65.85,44.24
havelock,64.94,100,90,8.05,34.88,-76.9
leshukonskoye,23.73,83,64,4.61,64.9,45.76
urusha,7.04,44,24,2.59,54.05,122.9
nong chik,88.58,59,0,6.85,6.84,101.18
portmore,77,78,20,3.36,17.97,-76.87
taybad,48.98,100,92,9.08,34.74,60.78
inhambane,82.4,65,75,10.29,-23.87,35.38
kathmandu,75.2,44,40,9.17,27.71,85.32
